Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
VIRTUALWARE;ES0105704003;ALVIR;"Euronext Growth Paris";EUR;4.78;4.78;4.78;4.78;"03/08/2026 11:30";CET;1;4.78;4.78;03/08/2026
VITURA;FR0010309096;VTR;"Euronext Paris";EUR;4.26;4.62;4.26;4.62;"03/08/2026 17:35";CET;217;968.72;4.62;03/08/2026
"VIVENDI SE";FR0000127771;VIV;"Euronext Paris";EUR;1.631;1.675;1.602;1.623;"03/08/2026 17:39";CET;5033658;8227213.53;1.623;03/08/2026
VOGO;FR0011532225;ALVGO;"Euronext Growth Paris";EUR;2.24;2.24;2.24;2.24;"28/07/2026 13:39";CET;18;40.32;2.24;03/08/2026
VOLTALIA;FR0011995588;VLTSA;"Euronext Paris";EUR;6.98;7.02;6.88;6.95;"03/08/2026 17:35";CET;71727;497423.64;6.95;03/08/2026
"VOYAGEURS DU MONDE";FR0004045847;ALVDM;"Euronext Growth Paris";EUR;178.00;178.50;178.00;178.50;"03/08/2026 17:35";CET;991;176662.50;178.50;03/08/2026
"VREF SEVILLE";ES0105492005;MLVRF;"Euronext Access Paris";EUR;3.75;3.75;3.75;3.75;"30/07/2020 00:00";CET;-;-;3.76;03/08/2026
Vusion;FR0010282822;VU;"Euronext Paris";EUR;129.70;130.00;124.50;128.00;"03/08/2026 17:35";CET;51068;6519630.10;128.00;03/08/2026
"WAGA ENERGY";FR0012532810;WAGA;"Euronext Paris";EUR;23.10;23.30;23.10;23.30;"03/08/2026 16:15";CET;259;6013.20;23.30;03/08/2026
WALLIX;FR0010131409;ALLIX;"Euronext Growth Paris";EUR;22.90;22.90;22.45;22.45;"03/08/2026 17:35";CET;2314;52349.05;22.45;03/08/2026
WATERA;FR001400IUV6;ALWTR;"Euronext Growth Paris";EUR;1.125;1.15;1.065;1.095;"03/08/2026 17:35";CET;5914;6595.92;1.095;03/08/2026
WAVESTONE;FR0013357621;WAVE;"Euronext Paris";EUR;33.20;34.25;32.95;33.15;"03/08/2026 17:35";CET;87260;2926611.55;33.15;03/08/2026
WE.CONNECT;FR0013079092;ALWEC;"Euronext Growth Paris";EUR;25.50;25.50;25.40;25.40;"03/08/2026 16:08";CET;197;5003.90;25.40;03/08/2026
"WEACCESS GROUP";FR0010688465;MLWEA;"Euronext Access Paris";EUR;2.66;2.66;2.66;2.66;"30/07/2026 11:30";CET;4;10.64;2.66;03/08/2026
WELLNESS;ES0105740007;MLWRS;"Euronext Access Paris";EUR;2.20;2.20;2.20;2.20;"19/09/2025 16:30";CET;1;2.20;2.20;03/08/2026
WENDEL;FR0000121204;MF;"Euronext Paris";EUR;84.30;87.15;84.30;86.20;"03/08/2026 17:36";CET;23338;2011343.03;86.20;03/08/2026
WEYA;FR0010768770;MLWEY;"Euronext Access Paris";EUR;0.0235;0.0235;0.0235;0.0235;"28/07/2026 11:30";CET;900;21.15;0.0235;03/08/2026
"WINAMP GROUP";BE0974334667;ALWIN;"Euronext Growth Paris, Brussels";EUR;0.4185;0.4185;0.388;0.405;"03/08/2026 17:35";CET;32179;12759.99;0.405;03/08/2026
WINFARM;FR0014000P11;ALWF;"Euronext Growth Paris";EUR;3.95;4.09;3.95;4.07;"03/08/2026 17:11";CET;1774;7107.81;4.07;03/08/2026
WITBE;FR0013143872;ALWIT;"Euronext Growth Paris";EUR;3.12;3.14;3.11;3.11;"03/08/2026 14:34";CET;784;2452.34;3.11;03/08/2026
WORLDLINE;FR00140182K6;WLN;"Euronext Paris";EUR;12.396;13.94;12.396;13.462;"03/08/2026 17:35";CET;1130792;15161924.90;13.462;03/08/2026
X-FAB;BE0974310428;XFAB;"Euronext Paris";EUR;6.595;6.605;6.065;6.405;"03/08/2026 17:39";CET;756596;4738992.72;6.405;03/08/2026
"XILAM ANIMATION";FR0004034072;ALXIL;"Euronext Growth Paris";EUR;6.10;6.14;5.64;5.74;"03/08/2026 17:29";CET;13879;81889.22;5.74;03/08/2026
"YOUNITED FIN. WARR";LU2999660207;YOUNW;"Euronext Paris";EUR;-;-;-;-;-;CET;-;-;-;-
"YOUNITED FINANCIAL";LU2999653251;YOUNI;"Euronext Paris";EUR;7.00;7.50;7.00;7.50;"03/08/2026 13:48";CET;1305;9297.00;7.50;03/08/2026
ZCCM;ZM0000000037;MLZAM;"Euronext Access Paris";EUR;3.64;3.64;3.64;3.64;"03/08/2026 16:30";CET;3144;11444.16;3.64;03/08/2026
"ZCI LIMITED";BMG9887P1068;CV;"Euronext Paris";EUR;0.17;0.20;0.17;0.20;"04/08/2015 16:20";CET;21826;3755.94;0.20;03/08/2026
